id,winner,p1moves,p1distance,p1thinkingtime,p2moves,p2distance,p2thinkingtime,p3moves,p3distance,p3thinkingtime
0,p1,22,0,3.378,22,5,0,22,3,4.084
1,p1,22,0,4.223,22,5,0,22,1,3.869
2,p1,22,0,5.911,22,4,0,22,8,2.348
3,p1,23,0,3.446,23,10,0,23,3,4.225
4,p3,23,4,3.104,23,6,0,22,0,3.373
5,p1,25,0,4.108,25,5,0,25,5,3.607
6,p1,18,0,5.06,18,10,0,18,14,3.491
7,p1,23,0,2.989,23,4,0,23,4,3.418
8,p1,21,0,2.774,21,10,0,21,5,3.867
9,p3,23,1,3.147,23,7,0,22,0,3.512
10,p1,22,0,5.069,22,6,0,22,9,3.839
11,p1,23,0,4.129,23,1,0,23,4,3.919
12,p1,22,0,4.684,22,1,0,22,3,3.874
13,p1,24,0,3.29,24,4,0,24,4,2.649
14,p1,22,0,4.506,22,10,0,22,1,4.556
15,p1,26,0,3.855,26,8,0,26,2,3.467
16,p1,22,0,4.723,22,13,0,22,1,4.631
17,p1,24,0,3.239,24,7,0,24,1,4.209
18,p1,24,0,3.402,24,0,0,24,4,4.956
19,p1,27,0,2.816,27,4,0,27,2,4.628
20,p1,20,0,5.782,20,6,0,20,10,5.499
21,p1,23,0,4.626,23,11,0,23,6,5.345
22,p1,23,0,4.706,23,6,0,23,4,4.12
23,p1,23,0,4.224,23,5,0,23,1,4.873
24,p1,21,0,5.389,21,7,0,21,1,4.294
25,p2,24,1,3.894,23,0,0,23,2,3.689
26,p1,21,0,5.44,21,1,0,21,7,4.943
27,p1,23,0,4.575,23,6,0,23,9,3.744
28,p1,23,0,4.431,23,7,0,23,3,3.933
29,p3,27,1,3.099,27,9,0,26,0,4.072
30,p1,24,0,4.689,24,1,0,24,0,4.113
31,p2,37,1,2.777,36,0,0,36,1,2.954
32,p3,26,1,2.974,26,5,0,25,0,4.479
33,p1,22,0,4.045,22,7,0,22,4,5.359
34,p1,24,0,5.997,24,1,0,24,2,4.75
35,p3,27,1,4.1,27,6,0,26,0,3.301
36,p2,23,1,3.831,22,0,0,22,2,4.118
37,p1,22,0,3.188,22,6,0,22,1,3.989
38,p1,19,0,5.079,19,10,0,19,11,4.298
39,p1,22,0,5.446,22,12,0,22,7,2.976
40,p2,23,3,5.718,22,0,0,22,6,3.83
41,p1,20,0,4.901,20,13,0,20,6,3.824
42,p1,25,0,2.305,25,5,0,25,2,3.241
43,p1,22,0,4.425,22,13,0,22,2,3.486
44,p1,24,0,4.331,24,4,0,24,2,5.009
45,p2,23,2,3.974,22,0,0,22,4,4.531
46,p1,21,0,3.052,21,6,0,21,6,4.782
47,p1,27,0,3.279,27,8,0,27,1,3.01
48,p1,26,0,4.239,26,6,0,26,0,3.339
49,p1,20,0,3.807,20,8,0,20,5,3.951
,,,,,,,,,,
Total Experiment time: 18808.544999999984,,,,,,,,,,
