id,winner,p1moves,p1distance,p1thinkingtime,p2moves,p2distance,p2thinkingtime
0,p2,20,12,0.002,19,0,2.587
1,p2,23,0,0.002,22,0,2.884
2,p2,22,2,0.002,21,0,2.78
3,p1,18,0,0.002,18,8,2.274
4,p1,18,0,0.004,18,7,3.357
5,p2,24,1,0.001,23,0,2.258
6,p2,22,3,0.001,21,0,2.761
7,p2,23,0,0.002,22,0,2.095
8,p2,21,5,0.002,20,0,1.866
9,p1,18,0,0.002,18,8,2.242
10,p2,24,7,0.001,23,0,1.676
11,p2,23,9,0.001,22,0,1.951
12,p2,22,1,0.002,21,0,1.907
13,p2,24,7,0.001,23,0,2.134
14,p2,23,0,0.002,22,0,2.415
15,p1,21,0,0.002,21,1,1.717
16,p1,24,0,0.001,24,1,1.803
17,p1,18,0,0.002,18,7,2.199
18,p1,23,0,0.001,23,1,2.383
19,p2,19,9,0.002,18,0,2.028
20,p2,22,1,0.001,21,0,1.76
21,p2,22,0,0.002,21,0,1.927
22,p2,19,9,0.002,18,0,2.058
23,p1,18,0,0.002,18,7,2.834
24,p2,25,0,0.001,24,0,2.207
25,p2,23,0,0.002,22,0,1.718
26,p1,18,0,0.002,18,7,2.121
27,p1,18,0,0.002,18,6,2.861
28,p2,24,0,0.001,23,0,1.669
29,p1,18,0,0.002,18,7,2.556
30,p2,19,9,0.002,18,0,1.766
31,p2,25,7,0.001,24,0,1.919
32,p2,21,2,0.001,20,0,1.731
33,p2,22,2,0.001,21,0,2.269
34,p1,19,0,0.002,19,6,1.749
35,p1,19,0,0.002,19,2,2.417
36,p2,24,4,0.001,23,0,2.053
37,p1,20,0,0.002,20,1,1.767
38,p2,22,3,0.001,21,0,1.57
39,p2,24,11,0.001,23,0,1.507
40,p1,23,0,0.001,23,0,1.77
41,p2,23,9,0.001,22,0,1.503
42,p2,19,9,0.001,18,0,1.777
43,p2,23,6,0.002,22,0,1.67
44,p2,21,2,0.002,20,0,1.62
45,p2,24,2,0.001,23,0,1.918
46,p2,21,2,0.001,20,0,1.621
47,p2,22,1,0.001,21,0,1.587
48,p2,20,12,0.001,19,0,1.928
49,p1,19,0,0.002,19,8,1.816

 Total Experiment time: 2231.0280000000002
