id,winner,p1moves,p1distance,p1thinkingtime,p2moves,p2distance,p2thinkingtime,p3moves,p3distance,p3thinkingtime
0,p2,27,1,0,26,0,0,26,2,0
1,p1,23,0,0,23,3,0,23,9,0
2,p3,28,1,0,28,1,0,28,0,0
3,p1,25,0,0,25,9,0,25,2,0
4,p1,28,0,0,28,0,0,28,1,0
5,p1,28,0,0,28,1,0,28,1,0
6,p3,26,1,0,26,7,0,26,0,0
7,p3,27,7,0,27,3,0,26,0,0
8,p1,30,0,0,30,3,0,30,2,0
9,p2,31,1,0,30,0,0,30,1,0
10,p1,31,0,0,31,2,0,31,2,0
11,p3,30,13,0,30,2,0,29,0,0
12,p2,42,1,0,41,0,0,41,1,0
13,p2,29,4,0,28,0,0,28,2,0
14,p1,26,0,0,26,5,0,26,1,0
15,p1,27,0,0,27,7,0,27,2,0
16,p1,27,0,0,27,1,0,27,1,0
17,p3,30,1,0,30,5,0,29,0,0
18,p3,26,4,0,26,5,0,25,0,0
19,p1,25,0,0,25,5,0,25,2,0
20,p3,35,3,0,35,0,0,34,0,0
21,p1,27,0,0,27,5,0,27,5,0
22,p2,37,1,0,36,0,0,36,1,0
23,p1,30,0,0,30,1,0,30,2,0
24,p1,34,0,0,34,0,0,34,1,0
25,p1,27,0,0,27,5,0,27,0,0
26,p2,34,1,0,33,0,0,33,1,0
27,p2,31,3,0,30,0,0,30,1,0
28,p3,31,4,0,30,1,0,30,0,0
29,p2,24,5,0,23,0,0,23,0,0
30,p2,27,1,0,26,0,0,26,1,0
31,p2,25,3,0,24,0,0,24,0,0
32,p1,32,0,0,32,3,0,32,2,0
33,p2,25,1,0,24,0,0,24,6,0
34,p1,26,0,0,26,3,0,26,1,0
35,p2,30,1,0,29,0,0,29,5,0
36,p3,29,2,0,29,9,0,28,0,0
37,p1,28,0,0,28,6,0,28,1,0
38,p1,28,0,0,28,12,0,28,2,0
39,p2,28,1,0,27,0,0,27,3,0
40,p2,25,6,0,24,0,0,24,3,0
41,p3,29,1,0,29,5,0,29,1,0
42,p1,27,0,0,27,1,0,27,5,0
43,p2,31,5,0,30,0,0,30,2,0
44,p3,31,1,0,31,3,0,30,0,0
45,p2,26,1,0,25,0,0,25,3,0
46,p3,37,1,0,37,5,0,36,0,0
47,p1,29,0,0,29,5,0,29,2,0
48,p1,28,0,0,28,4,0,28,3,0
49,p2,33,6,0,32,0,0,32,4,0
,,,,,,,,,,
Total Experiment time: 9211.242999999986,,,,,,,,,,
