id,winner,p1moves,p1distance,p1thinkingtime,p2moves,p2distance,p2thinkingtime,p3moves,p3distance,p3thinkingtime
0,p1,23,0,0.006,23,1,3.569,23,1,0.127
1,p2,26,1,0.003,25,0,4.194,25,1,0.134
2,p3,22,1,0.003,22,1,3.659,21,0,0.162
3,p2,21,2,0.003,20,0,3.738,20,4,0.117
4,p2,23,3,0.003,22,0,2.748,22,2,0.119
5,p1,20,0,0.004,20,1,5.37,20,1,0.137
6,p2,20,8,0.003,19,0,5.336,19,0,0.134
7,p1,24,0,0.003,24,1,3.843,24,1,0.116
8,p2,28,1,0.002,27,0,2.702,27,2,0.102
9,p1,20,0,0.005,20,2,6.49,20,0,0.147
10,p3,23,1,0.005,23,1,5.978,22,0,0.197
11,p3,19,4,0.004,19,2,8.887,18,0,0.225
12,p1,22,0,0.003,22,1,4.092,22,3,0.112
13,p1,22,0,0.004,22,4,4.929,22,0,0.151
14,p2,23,1,0.004,22,0,5.937,22,2,0.135
15,p1,21,0,0.003,21,1,7.917,21,2,0.152
16,p2,21,2,0.003,20,0,4.173,20,1,0.099
17,p2,20,3,0.004,19,0,5.085,19,1,0.1
18,p1,21,0,0.004,21,4,4.418,21,2,0.136
19,p2,22,3,0.003,21,0,4.412,21,2,0.118
20,p2,18,5,0.004,17,0,4.268,17,5,0.137
21,p2,21,1,0.004,20,0,4.439,20,2,0.129
22,p1,22,0,0.003,22,1,5.107,22,1,0.131
23,p3,23,2,0.003,23,2,5.158,22,0,0.102
24,p3,22,1,0.006,22,1,5.063,21,0,0.15
25,p2,22,5,0.005,21,0,5.713,21,2,0.136
26,p3,23,1,0.004,23,2,7.19,22,0,0.16
27,p2,22,1,0.004,21,0,8.048,21,2,0.171
28,p1,21,0,0.003,21,2,5.83,21,1,0.131
29,p2,23,1,0.003,22,0,3.845,22,1,0.127
30,p1,22,0,0.004,22,2,3.915,22,2,0.123
31,p2,24,4,0.003,23,0,4.47,23,4,0.131
32,p1,21,0,0.004,21,1,4.012,21,2,0.177
33,p2,19,4,0.004,18,0,6.442,18,2,0.17
34,p3,22,3,0.005,22,3,4.041,21,0,0.116
35,p2,21,2,0.003,20,0,4.098,20,4,0.125
36,p1,22,0,0.005,22,1,5.536,22,2,0.187
37,p1,23,0,0.003,23,3,5.281,23,3,0.124
38,p1,21,0,0.003,21,1,5.615,21,1,0.149
39,p2,19,4,0.004,18,0,4.779,18,4,0.153
40,p1,22,0,0.004,22,1,3.912,22,1,0.105
41,p1,23,0,0.003,23,2,3.319,23,0,0.116
42,p1,21,0,0.003,21,1,4.631,21,3,0.119
43,p1,21,0,0.004,21,3,3.012,21,3,0.112
44,p1,20,0,0.004,20,3,5.678,20,6,0.149
45,p2,22,1,0.003,21,0,5.451,21,2,0.168
46,p2,21,6,0.004,20,0,7.033,20,1,0.155
47,p1,18,0,0.004,18,10,4.483,18,8,0.13
48,p2,18,6,0.004,17,0,5.888,17,1,0.165
49,p1,21,0,0.004,21,3,6.368,21,3,0.164
,,,,,,,,,,
Total Experiment time: 5401.022999999999,,,,,,,,,,
