id,winner,p1moves,p1distance,p1thinkingtime,p2moves,p2distance,p2thinkingtime,p3moves,p3distance,p3thinkingtime
0,p2,30,1,0.003,29,0,2.905,29,1,0.093
1,p1,26,0,0.003,26,7,3.132,26,2,0.118
2,p1,22,0,0.004,22,11,3.932,22,3,0.128
3,p1,25,0,0.003,25,5,3.431,25,2,0.082
4,p2,23,2,0.003,22,0,3.241,22,5,0.107
5,p1,28,0,0.002,28,4,2.428,28,1,0.07
6,p2,26,1,0.003,25,0,3.465,25,2,0.109
7,p1,27,0,0.003,27,1,2.956,27,1,0.092
8,p1,19,0,0.004,19,15,3.091,19,4,0.152
9,p1,20,0,0.004,20,9,5.363,20,6,0.149
10,p1,26,0,0.002,26,4,2.244,26,2,0.092
11,p1,25,0,0.003,25,2,3.386,25,4,0.102
12,p1,26,0,0.003,26,4,3.337,26,3,0.1
13,p3,25,3,0.003,25,10,2.253,24,0,0.111
14,p2,31,1,0.002,30,0,2.132,30,1,0.098
15,p1,20,0,0.003,20,14,2.401,20,10,0.091
16,p1,24,0,0.003,24,15,3.031,24,3,0.091
17,p1,32,0,0.002,32,2,2.451,32,1,0.053
18,p1,25,0,0.003,25,1,3.275,25,2,0.081
19,p1,26,0,0.003,26,6,2.016,26,1,0.102
20,p2,23,2,0.002,22,0,3.806,22,1,0.086
21,p1,24,0,0.003,24,3,3.525,24,6,0.098
22,p1,24,0,0.003,24,4,2.794,24,3,0.101
23,p1,27,0,0.003,27,1,1.632,27,1,0.086
24,p1,25,0,0.002,25,5,2.868,25,1,0.077
25,p1,21,0,0.003,21,8,3.8,21,3,0.096
26,p2,24,7,0.003,23,0,3.967,23,4,0.108
27,p1,24,0,0.003,24,15,2.857,24,1,0.118
28,p1,23,0,0.003,23,10,3.411,23,7,0.1
29,p1,20,0,0.004,20,11,3.084,20,4,0.097
30,p1,22,0,0.003,22,10,3.403,22,1,0.093
31,p1,21,0,0.003,21,10,2.854,21,2,0.117
32,p1,24,0,0.003,24,8,2.959,24,1,0.084
33,p2,25,1,0.002,24,0,2.222,24,2,0.092
34,p1,27,0,0.003,27,1,2.742,27,2,0.07
35,p1,25,0,0.003,25,1,3.597,25,4,0.1
36,p1,23,0,0.003,23,3,3.435,23,1,0.091
37,p1,24,0,0.003,24,3,3.468,24,3,0.095
38,p3,31,2,0.002,31,2,1.858,30,0,0.097
39,p2,29,1,0.002,28,0,2.61,28,1,0.072
40,p1,23,0,0.003,23,6,2.571,23,3,0.092
41,p2,29,1,0.003,28,0,3.454,28,2,0.073
42,p1,20,0,0.003,20,8,3.249,20,8,0.098
43,p1,26,0,0.003,26,1,3.172,26,4,0.083
44,p2,25,3,0.003,24,0,3.094,24,7,0.107
45,p1,24,0,0.003,24,8,3.015,24,1,0.108
46,p2,29,1,0.002,28,0,3.764,28,1,0.071
47,p1,20,0,0.003,20,11,2.576,20,6,0.099
48,p1,20,0,0.003,20,12,3.177,20,7,0.095
49,p1,32,0,0.002,32,5,2.461,32,1,0.093
,,,,,,,,,,
Total Experiment time: 9210.461999999998,,,,,,,,,,
